mutation1	101	101	20.247	0.200465	0.200465
mutation2	101	101	23.328	0.23097	0.23097
mutation3	101	101	-7.747	-0.076703	-0.076703
mutation4	101	101	11.627	0.115119	0.115119
mutation5	101	101	43.152	0.427248	0.427248
mutation6	101	101	28.923	0.286366	0.286366
mutation7	101	101	12.409	0.122861	0.122861
mutation8	101	101	17.276	0.17105	0.17105
mutation9	101	101	6.712	0.0664554	0.0664554
mutation10	101	101	12.008	0.118891	0.118891
mutation11	101	101	19.973	0.197752	0.197752
mutation12	101	101	9.551	0.0945644	0.0945644
mutation13	101	101	18.451	0.182683	0.182683
mutation14	101	101	85.366	0.845208	0.845208
mutation15	101	101	0.155001	0.00153466	0.00153466
mutation16	101	101	5.196	0.0514455	0.0514455
mutation17	101	101	-9.347	-0.0925446	-0.0925446
mutation18	101	101	11.802	0.116851	0.116851
mutation19	101	101	-3.012	-0.0298218	-0.0298218
mutation20	101	101	28.745	0.284604	0.284604
mutation21	101	101	5.968	0.0590891	0.0590891
mutation22	101	101	9.989	0.098901	0.098901
mutation23	101	101	12.223	0.12102	0.12102
mutation24	101	101	12.143	0.120228	0.120228
mutation25	101	101	-6.33	-0.0626733	-0.0626733
mutation26	101	101	2.287	0.0226436	0.0226436
mutation27	101	101	4.839	0.0479109	0.0479109
mutation28	101	101	13.138	0.130079	0.130079
mutation29	101	101	9.022	0.0893267	0.0893267
mutation30	101	101	7.427	0.0735347	0.0735347
mutation31	101	101	16.431	0.162683	0.162683
mutation32	101	101	88.441	0.875653	0.875653
mutation33	101	101	3.737	0.037	0.037
mutation34	101	101	19.418	0.192257	0.192257
mutation35	101	101	15.08	0.149307	0.149307
mutation36	101	101	21.724	0.215089	0.215089
mutation37	101	101	-10.455	-0.103515	-0.103515
mutation38	101	101	27.73	0.274554	0.274554
mutation39	101	101	6.202	0.0614059	0.0614059
mutation40	101	101	5.599	0.0554356	0.0554356
mutation41	101	101	47.17	0.46703	0.46703
mutation42	101	101	-9.383	-0.092901	-0.092901
mutation43	101	101	15.124	0.149743	0.149743
mutation44	101	101	8.119	0.0803861	0.0803861
mutation45	101	101	-6.907	-0.0683861	-0.0683861
mutation46	101	101	-4.649	-0.0460297	-0.0460297
mutation47	101	101	14.076	0.139366	0.139366
mutation48	101	101	7.496	0.0742178	0.0742178
