mutation1	101	101	6380	63.1683	63.1683
mutation2	101	101	4700	46.5347	46.5347
mutation3	101	101	3720	36.8317	36.8317
mutation4	101	101	3240	32.0792	32.0792
mutation5	101	101	4740	46.9307	46.9307
mutation6	101	101	2920	28.9109	28.9109
mutation7	101	101	5180	51.2871	51.2871
mutation8	101	101	6220	61.5842	61.5842
mutation9	101	101	4580	45.3465	45.3465
mutation10	101	101	4260	42.1782	42.1782
mutation11	101	101	3120	30.8911	30.8911
mutation12	101	101	2960	29.3069	29.3069
mutation13	101	101	3840	38.0198	38.0198
mutation14	101	101	4680	46.3366	46.3366
mutation15	101	101	3940	39.0099	39.0099
mutation16	101	101	6960	68.9109	68.9109
mutation17	101	101	3580	35.4455	35.4455
mutation18	101	101	3360	33.2673	33.2673
mutation19	101	101	3820	37.8218	37.8218
mutation20	101	101	3820	37.8218	37.8218
mutation21	101	101	4500	44.5545	44.5545
mutation22	101	101	5000	49.505	49.505
mutation23	101	101	3380	33.4653	33.4653
mutation24	101	101	5800	57.4257	57.4257
mutation25	101	101	4940	48.9109	48.9109
mutation26	101	101	6920	68.5149	68.5149
mutation27	101	101	5200	51.4851	51.4851
mutation28	101	101	4620	45.7426	45.7426
mutation29	101	101	5320	52.6733	52.6733
mutation30	101	101	4180	41.3861	41.3861
mutation31	101	101	6740	66.7327	66.7327
mutation32	101	101	3600	35.6436	35.6436
mutation33	101	101	5520	54.6535	54.6535
mutation34	101	101	5080	50.297	50.297
mutation35	101	101	3220	31.8812	31.8812
mutation36	101	101	4560	45.1485	45.1485
mutation37	101	101	2140	21.1881	21.1881
mutation38	101	101	5860	58.0198	58.0198
mutation39	101	101	5740	56.8317	56.8317
mutation40	101	101	4460	44.1584	44.1584
mutation41	101	101	4000	39.604	39.604
mutation42	101	101	5040	49.901	49.901
mutation43	101	101	4320	42.7723	42.7723
mutation44	101	101	5140	50.8911	50.8911
mutation45	101	101	6980	69.1089	69.1089
mutation46	101	101	5820	57.6238	57.6238
mutation47	101	101	3020	29.901	29.901
mutation48	101	101	2380	23.5644	23.5644
mutation49	101	101	3300	32.6733	32.6733
mutation50	101	101	4800	47.5248	47.5248
mutation51	101	101	3600	35.6436	35.6436
mutation52	101	101	5140	50.8911	50.8911
